SysName1	SysName2	Pred
b0001	b0002	0
b0002	b0003	1
b0003	b0004	1
b0004	b0005	0
b0006	b0007	0
b0008	b0009	0
b0010	b0011	0
b0011	b0013	1
b0014	b0015	1
b0015	b0016	0
b0018	b4412	1
b4413	b0019	0
b0019	b0020	1
b0021	b0022	1
b0022	b0023	0
b0024	b0025	0
b0025	b0026	1
b0026	b0027	1
b0027	b0028	1
b0028	b0029	1
b0029	b0030	0
b0030	b0031	0
b0031	b0032	0
b0032	b0033	1
b0033	b0034	0
b0035	b0036	1
b0036	b0037	0
b0037	b0038	0
b0038	b0039	1
b0039	b0040	1
b0041	b0042	1
b0042	b0043	1
b0043	b0044	1
b0044	b0045	0
b0045	b0046	0
b0046	b0047	1
b0047	b0048	0
b0049	b0050	1
b0050	b0051	1
b0051	b0052	1
b0052	b0053	1
b0053	b0054	1
b0055	b4659	0
b0058	b0059	1
b0059	b0060	0
b0060	b0061	0
b0061	b0062	0
b0062	b0063	1
b0064	b0065	0
b0066	b0067	1
b0067	b0068	1
b0068	b0069	0
b4577	b4662	1
b4662	b0070	0
b0071	b0072	1
b0072	b0073	1
b0073	b0074	1
b0074	b0075	1
b0076	b0077	0
b0077	b0078	1
b0078	b0080	0
b0080	b0081	0
b0081	b0082	1
b0082	b0083	1
b0083	b0084	1
b0084	b0085	1
b0085	b0086	1
b0086	b0087	1
b0087	b0088	1
b0088	b0089	1
b0089	b0090	1
b0090	b0091	1
b0091	b0092	1
b0092	b0093	1
b0093	b0094	1
b0094	b0095	1
b0095	b0096	0
b0096	b0097	0
b0097	b0098	1
b0098	b0099	1
b0101	b0102	1
b0102	b0103	1
b0106	b0107	1
b0107	b0108	1
b0108	b0109	0
b0110	b0111	1
b0113	b0114	0
b0114	b0115	1
b0115	b0116	1
b0118	b0119	0
b0120	b0121	1
b0121	b0122	0
b0127	b0128	1
b0128	b0129	0
b0129	b0130	1
b0133	b0134	1
b0134	b0135	0
b0135	b0136	1
b0136	b0137	1
b0137	b0138	1
b0138	b0139	1
b0139	b0140	1
b0140	b0141	1
b0141	b0142	0
b0142	b0143	1
b0143	b0144	1
b0144	b0145	1
b0145	b0146	0
b0146	b0147	0
b0148	b0149	0
b0149	b0150	0
b0150	b0151	1
b0151	b0152	1
b0152	b0153	1
b0155	b0156	0
b0157	b0158	0
b0158	b0159	1
b0160	b0161	0
b0161	b0162	0
b0163	b0164	0
b0164	b0166	0
b0166	b0167	0
b0167	b0168	0
b4414	b0169	1
b0169	b0170	1
b0170	b0171	1
b0171	b0172	0
b0172	b0173	0
b0173	b0174	0
b0174	b0175	1
b0175	b0176	1
b0176	b0177	1
b0177	b0178	1
b0178	b0179	1
b0179	b0180	1
b0180	b0181	1
b0181	b0182	1
b0182	b0183	1
b0183	b0184	1
b0184	b0185	1
b0185	b0186	0
b0186	b0187	1
b0187	b0188	0
b0189	b4406	1
b0190	b0191	1
b0191	b0192	1
b0193	b0194	0
b0194	b0195	0
b0195	b0196	1
b0196	b0197	0
b0197	b0198	1
b0198	b0199	1
b0200	b0201	0
b0201	b0202	0
b0202	b0203	0
b0203	b0204	0
b0204	b0205	0
b0205	b0206	0
b0206	b0207	0
b0209	b0210	1
b0211	b0212	0
b0215	b0216	0
b0216	b0217	0
b4586	b0218	1
b0222	b0223	0
b0224	b0225	0
b0225	b0226	1
b0227	b0228	0
b0230	b0231	0
b0231	b0232	1
b0232	b0233	1
b0233	b0234	1
b0234	b0235	0
b0235	b0236	1
b0238	b0239	0
b0239	b0240	0
b0242	b0243	1
b0243	b0244	0
b4626	b0245	0
b0245	b0246	1
b0246	b4504	1
b4504	b0247	1
b0247	b0248	0
b0248	b0249	0
b0249	b0250	0
b0250	b0251	1
b0251	b4627	1
b4627	b4628	1
b4628	b0252	0
b0252	b0253	0
b0253	b0254	0
b4587	b0256	0
b0256	b4690	0
b4690	b0258	0
b0260	b0261	1
b0262	b0263	1
b0263	b0264	0
b0264	b0265	1
b0265	b4505	0
b4505	b0266	1
b0266	b0267	0
b0268	b0269	1
b0269	b0270	0
b0270	b0271	1
b0272	b0273	0
b0274	b0275	1
b0277	b0278	0
b0278	b0279	1
b0279	b0280	0
b0280	b0281	0
b4694	b4695	1
b4695	b0283	1
b0283	b0284	1
b0284	b0285	1
b0285	b0286	1
b0288	b0289	0
b0289	b0290	1
b0290	b0291	1
b0291	b0292	1
b0292	b0293	1
b0293	b0294	1
b4506	b0296	1
b0296	b4671	0
b4671	b4630	0
b0297	b0298	0
b0298	b0299	1
b0301	b0303	1
b0303	b0304	0
b0305	b0306	0
b0306	b0307	1
b0307	b0308	1
b0310	b0311	0
b0311	b0312	1
b0312	b0313	1
b0314	b0315	0
b0316	b0317	0
b0318	b0319	1
b0319	b0320	1
b0320	b0321	1
b0321	b0323	0
b0323	b0324	1
b0324	b0325	0
b0325	b0326	0
b0326	b0327	0
b0331	b0333	0
b0333	b0334	1
b0334	b0335	1
b0335	b0336	0
b0336	b0337	1
b0339	b0340	1
b0340	b0341	1
b0342	b0343	1
b0343	b0344	1
b0344	b0345	0
b0345	b0346	0
b0347	b0348	1
b0348	b0349	1
b0349	b0350	1
b0350	b0351	1
b0351	b0352	1
b0352	b0353	0
b0353	b0354	0
b0355	b0356	1
b0356	b0357	1
b0357	b0358	0
b0358	b4579	1
b0360	b0361	1
b0363	b0364	1
b0365	b0366	1
b0366	b0367	1
b0367	b0368	1
b0372	b0373	1
b0377	b0378	1
b0382	b0383	0
b0383	b0384	0
b0384	b0385	0
b0387	b0388	0
b0388	b0389	0
b0389	b0390	0
b0390	b0391	0
b0391	b0392	0
b0396	b0397	0
b0397	b0398	1
b0399	b0400	1
b0400	b0401	0
b0401	b0402	1
b0402	b0403	0
b0405	b0406	1
b0406	b0407	1
b0407	b0408	1
b0408	b0409	1
b0409	b0410	0
b0411	b0412	0
b0413	b0414	1
b0414	b0415	1
b0415	b0416	1
b0416	b0417	1
b0417	b0418	1
b0419	b0420	0
b0420	b0421	1
b0421	b0422	1
b0424	b0425	1
b0427	b0428	0
b0428	b0429	1
b0429	b0430	1
b0430	b0431	1
b0431	b0432	1
b0432	b0433	0
b0433	b0434	1
b0435	b0436	0
b0436	b0437	0
b0437	b0438	1
b0438	b0439	1
b0439	b0440	0
b0440	b0441	0
b0441	b0442	0
b0442	b0443	0
b0444	b0445	0
b0446	b0447	0
b0447	b0448	1
b0448	b0449	1
b0449	b0450	0
b0450	b0451	1
b0455	b0456	0
b0457	b0458	0
b0458	b0459	0
b0459	b0460	0
b0460	b0461	1
b0461	b0462	0
b0462	b0463	1
b0464	b0465	0
b0466	b0467	1
b0468	b0469	0
b0469	b0470	0
b0470	b0471	1
b0471	b0472	1
b0472	b0473	0
b0473	b0474	0
b0474	b0475	0
b0478	b0479	0
b0485	b0486	1
b0486	b0487	0
b0488	b0489	1
b0490	b0491	1
b0492	b0493	0
b0493	b0494	1
b0495	b0496	1
b0496	b0497	0
b0497	b0498	0
b0498	b0499	1
b0499	b0500	1
b0500	b4632	0
b0502	b0503	0
b0503	b0504	0
b0505	b0506	0
b0506	b0507	0
b0507	b0508	1
b0508	b0509	1
b0509	b0511	0
b0511	b0512	1
b0512	b0513	1
b0513	b0514	1
b0515	b0516	1
b0516	b0517	1
b0518	b4572	1
b4572	b0520	1
b0520	b0521	1
b0522	b0523	1
b0523	b0524	0
b0524	b0525	1
b0527	b0528	0
b0528	b0529	1
b0530	b0531	0
b0531	b0532	1
b0532	b0533	1
b0533	b0534	1
b0537	b4633	1
b4633	b0539	1
b4508	b0542	1
b0542	b0540	0
b0540	b0541	1
b0541	b0543	0
b0543	b0544	0
b0544	b0545	0
b0545	b0546	1
b0546	b4588	0
b4588	b0547	1
b0547	b0548	1
b0548	b0549	1
b0549	b0550	1
b0550	b4509	1
b4509	b0551	0
b0553	b0552	0
b0554	b0555	1
b0555	b0556	1
b0556	b4510	1
b0557	b0558	0
b0560	b4634	1
b4634	b0561	1
b0563	b0564	0
b0566	b0567	0
b0567	b0568	1
b0568	b0569	1
b0569	b0570	0
b0570	b0571	1
b0572	b0573	1
b0573	b0574	1
b0574	b0575	1
b0575	b0576	1
b0577	b0578	0
b0578	b0579	0
b0579	b0580	0
b0580	b0581	0
b4700	b4415	0
b4415	b0582	0
b0583	b0584	1
b0585	b4511	1
b4511	b0586	1
b0586	b0587	0
b0588	b0589	1
b0589	b0590	1
b0593	b0594	1
b0594	b0595	1
b0595	b0596	1
b0596	b0597	1
b0597	b0598	0
b0598	b4512	1
b0601	b0602	1
b0602	b0603	0
b0603	b0604	0
b0605	b0606	1
b0610	b0611	0
b0611	b0612	0
b0612	b0613	0
b0613	b0614	1
b0614	b0615	1
b0615	b0616	1
b0616	b0617	1
b0617	b0618	1
b0619	b0620	1
b0622	b0623	0
b4581	b0627	0
b0628	b0629	0
b0629	b0630	0
b0630	b0631	0
b0631	b0632	0
b0632	b0633	1
b0633	b0634	1
b0634	b0635	1
b0635	b0636	1
b0636	b0637	1
b0637	b0638	0
b0638	b0639	1
b0639	b0640	1
b0640	b0641	1
b0641	b0642	1
b0645	b0646	1
b0648	b0649	0
b0650	b0651	0
b0651	b0652	0
b0652	b0653	1
b0653	b0654	1
b0654	b0655	0
b0655	b0656	0
b0656	b0657	0
b0657	b0658	1
b0658	b0659	1
b0659	b0660	1
b0660	b0661	0
b0664	b0665	0
b0665	b0666	0
b0666	b0668	1
b0668	b0670	0
b0670	b0672	1
b0672	b0673	1
b0673	b0674	0
b0674	b0675	0
b0675	b0676	1
b0676	b0677	1
b0677	b0678	1
b0679	b0680	0
b0680	b0681	0
b0681	b0682	0
b0683	b4637	1
b4637	b0684	0
b0684	b0685	1
b0685	b0686	0
b0687	b0688	1
b0688	b0689	0
b0691	b4636	1
b4636	b0692	0
b0692	b0693	1
b0694	b0695	1
b0695	b0696	1
b0696	b0697	1
b0697	b0698	1
b0698	b4513	1
b0699	b0700	0
b0700	b0702	0
b0702	b0703	0
b0703	b0704	1
b0704	b4514	0
b4514	b0705	0
b0705	b0706	0
b0706	b0707	0
b0707	b0708	1
b0710	b0711	1
b0711	b0712	1
b0712	b0713	1
b0713	b0714	0
b0715	b0716	0
b0716	b0717	1
b0717	b0718	1
b0718	b0719	1
b0719	b0720	0
b0721	b0722	1
b0722	b0723	1
b0723	b0724	1
b0724	b0726	0
b0726	b0727	1
b0727	b0728	1
b0728	b0729	1
b0731	b0732	1
b0732	b0733	0
b0733	b0734	1
b0734	b4515	1
b4515	b0735	1
b0735	b0736	0
b0736	b0737	1
b0737	b0738	1
b0738	b0739	1
b0739	b0740	0
b0740	b0741	1
b0741	b0742	1
b0742	b0743	0
b0743	b0744	0
b0744	b0745	1
b0745	b0746	0
b0746	b0747	1
b0747	b0748	0
b0748	b0749	0
b0749	b0750	0
b0750	b0751	1
b0752	b0753	0
b0755	b0756	0
b0756	b0757	1
b0757	b0758	1
b0758	b0759	1
b0759	b0760	0
b0760	b0761	0
b0762	b0763	0
b0763	b0764	1
b0764	b0765	1
b0769	b0770	0
b0770	b0771	0
b0772	b0773	0
b0773	b0774	0
b0775	b0776	1
b0776	b0777	1
b0777	b0778	1
b0781	b0782	1
b0782	b0783	1
b0783	b0784	1
b0784	b0785	1
b0785	b0786	0
b0786	b0787	0
b0788	b0789	1
b0789	b0790	1
b0792	b0793	1
b0793	b0794	1
b0794	b0795	1
b0795	b0796	1
b0799	b0800	0
b0800	b0801	0
b0802	b0803	0
b0803	b0804	0
b0804	b0805	1
b0805	b0806	0
b0808	b0809	0
b0809	b0810	1
b0810	b0811	1
b0811	b0812	0
b0812	b0813	0
b0817	b0818	1
b0821	b0822	0
